 
****************************************
Report : area
Design : lenet
Version: R-2020.09-SP5
Date   : Sun Apr 19 11:53:43 2026
****************************************

Library(s) Used:

    slow (File: /home/m110/m110061644/synopsys_tech_file/slow.db)

Number of ports:                        10593
Number of nets:                         32669
Number of cells:                        18533
Number of combinational cells:          16920
Number of sequential cells:              1178
Number of macros/black boxes:               0
Number of buf/inv:                       2682
Number of references:                     234

Combinational area:             258800.883798
Buf/Inv area:                     9960.343054
Noncombinational area:           31074.302298
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                289875.186095
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
gen_macs[39].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_0_DW01_add_0_DW01_add_107
gen_macs[39].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_0_DW02_mult_0_DW02_mult_36
gen_macs[39].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_0_DW01_add_1_DW01_add_108
gen_macs[3].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_36
gen_macs[3].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_36_DW01_add_0_DW01_add_53
gen_macs[3].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_36_DW02_mult_0_DW02_mult_9
gen_macs[3].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_36_DW01_add_1_DW01_add_54
gen_macs[4].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_35
gen_macs[4].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_35_DW01_add_0_DW01_add_61
gen_macs[4].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_35_DW02_mult_0_DW02_mult_13
gen_macs[4].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_35_DW01_add_1_DW01_add_62
gen_macs[5].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_34
gen_macs[5].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_34_DW01_add_0_DW01_add_113
gen_macs[5].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_34_DW02_mult_0_DW02_mult_39
gen_macs[5].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_34_DW01_add_1_DW01_add_114
gen_macs[6].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_33
gen_macs[6].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_33_DW01_add_0_DW01_add_111
gen_macs[6].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_33_DW02_mult_0_DW02_mult_38
gen_macs[6].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_33_DW01_add_1_DW01_add_112
gen_macs[7].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_32
gen_macs[7].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_32_DW01_add_0_DW01_add_109
gen_macs[7].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_32_DW02_mult_0_DW02_mult_37
